Mission Summary
Mission Time (s),250.06226062774658
Travel Distance (m),135.65006082392944
Total Tree,0
Inspected Tree,0
Validated Tree,0
Coverage (%),0.0

Trajectory
Index,Time (s),X,Y,Z (Altitude),Vx,Vy,Vz,Heading (deg),Airspeed,Groundspeed,Throttle (%)
368,99.77118945121765,5.1980180740356445,33.65501022338867,-12.704370498657227,1.0286967754364014,-0.9998072385787964,-0.06985638290643692,138,0.0,1.4399703741073608,0.8799999952316284
369,100.74264979362488,6.072328090667725,32.669002532958984,-12.661869049072266,1.0286967754364014,-0.9998072385787964,-0.06985638290643692,137,0.0,1.34953773021698,0.8100000023841858
370,100.74930834770203,6.072328090667725,32.669002532958984,-12.661869049072266,0.8709143400192261,-1.0547314882278442,-0.06549018621444702,137,0.0,1.34953773021698,0.8100000023841858
371,101.12218761444092,6.3562912940979,32.35467529296875,-12.65499496459961,0.8709143400192261,-1.0547314882278442,-0.06549018621444702,134,0.0,1.3208647966384888,0.8100000023841858
372,101.16053462028503,6.3562912940979,32.35467529296875,-12.65499496459961,0.8354313969612122,-0.9947366714477539,0.12716037034988403,132,0.0,1.349974513053894,0.8399999737739563
373,101.64013767242432,6.652796268463135,32.05778503417969,-12.65865707397461,0.8354313969612122,-0.9947366714477539,0.12716037034988403,133,0.0,1.3055567741394043,0.8199999928474426
374,101.64132618904114,6.652796268463135,32.05778503417969,-12.65865707397461,0.895923912525177,-1.0091887712478638,0.049120303243398666,136,0.0,1.330464243888855,0.75
375,102.66214847564697,7.637491703033447,31.145936965942383,-12.590940475463867,0.895923912525177,-1.0091887712478638,0.049120303243398666,135,0.0,1.3810406923294067,0.7400000095367432
376,102.66315770149231,7.637491703033447,31.145936965942383,-12.590940475463867,1.0254818201065063,-0.8728492856025696,0.2069963812828064,136,0.0,1.4565871953964233,0.800000011920929
377,102.74209570884705,7.978033542633057,30.80702781677246,-12.590841293334961,1.0254818201065063,-0.8728492856025696,0.2069963812828064,136,0.0,1.5069642066955566,0.8600000143051147
378,103.20098805427551,8.29774284362793,30.4443416595459,-12.577150344848633,1.0005950927734375,-1.0647273063659668,-0.061106208711862564,133,0.0,1.4404393434524536,0.7200000286102295
379,103.59900188446045,8.59036636352539,30.14926528930664,-12.576398849487305,1.02201509475708,-1.116983413696289,-0.077875517308712,135,0.0,1.3932056427001953,0.7099999785423279
380,103.74028134346008,8.897308349609375,29.81410026550293,-12.577506065368652,0.9918730854988098,-1.0096487998962402,0.1875852644443512,135,0.0,1.4402661323547363,0.8399999737739563
381,104.15345048904419,9.20524787902832,29.450843811035156,-12.557112693786621,0.9297226071357727,-1.0400612354278564,0.026715489104390144,133,0.0,1.366219162940979,0.7200000286102295
382,104.73992037773132,9.815540313720703,28.86398696899414,-12.54082202911377,0.9751097559928894,-1.0451722145080566,-0.13026167452335358,134,0.0,1.3701694011688232,0.7699999809265137
